   87  tei   tei
   87  pat   pat
   87  hȧn   hain
   87  āha   āha
   86  afi   awhi
   86  öna   ouna
   86  pön   poun
   85  ram   ram
   85  täŋ   taung
   84  kin   kin
   84  äte   aute
   83  ani   ani
   83  ane   ane
   81  opi   opi
   80  pār   pār
   79  opu   opu
   79  pir   pir
   76  taf   tawh
   76  ito   ito
   76  nan   nan
   76  aku   aku
   76  wȧt   wait
   75  kop   kop
   75  kȧh   kaih
   75  wat   wat
   74  oru   oru
   74  rek   rek
   73  hiŋ   hing
   73  fer   wher
   73  kon   kon
   72  ket   ket
   72  āua   āua
   72  äpō   aupō
   72  ahæ   ahae
   72  koa   koa
   72  aar   aar
   71  tät   taut
   71  kak   kak
   70  rāu   rāu
   70  ānä   ānau
   70  āwȧ   āwai
   70  kāh   kāh
   69  aho   aho
   69  puh   puh
   68  ȧhä   aihau
   67  ŋah   ngah
   67  eti   eti
   67  kan   kan
   67  māt   māt
   67  tēr   tēr
   67  īŋi   īngi
   67  hät   haut
   67  kīŋ   kīng
   66  apo   apo
   66  ima   ima
   66  ȧrä   airau
   66  etä   etau
   65  äto   auto
   65  hio   hio
   64  kea   kea
   64  käp   kaup
   64  uiŋ   uing
   64  ofe   owhe
   64  rof   rowh
   63  ian   ian
   63  fir   whir
   63  æŋa   aenga
   63  eta   eta
   62  ānu   ānu
   62  hik   hik
   62  pok   pok
   61  unu   unu
   61  täi   taui
   61  häp   haup
   61  ätū   autū
   61  rea   rea
   60  ŋon   ngon
   59  ȧki   aiki
   59  koŋ   kong
   59  pot   pot
   59  wīw   wīw
   59  rop   rop
   59  īwī   īwī
   58  awe   awe
   58  ōpū   ōpū
   58  pea   pea
   58  fan   whan
   57  äri   auri
   57  rōp   rōp
   57  hoa   hoa
   57  itu   itu
   57  nāw   nāw
   56  nōh   nōh
   56  nih   nih
   56  noŋ   nong
   56  kär   kaur
   55  mih   mih
   55  naŋ   nang
   55  ŋia   ngia
   55  ahe   ahe
   53  ūro   ūro
   53  āka   āka
   53  per   per
   53  pik   pik
   52  hot   hot
   52  tit   tit
   52  kup   kup
   52  ākä   ākau
   52  rih   rih
   52  omo   omo
   51  uha   uha
   51  ōra   ōra
